Fecha GMT, Velocidad del viento (m/s), Presion atmosférica (Pa), Precipitación (mm), Humedad (1) , Temperatura (Cº)
"Thu Nov 09 02:00:00 CET 2017","-1","-41","-10","11","0"
"Thu Nov 09 03:00:00 CET 2017","-1","-41","-0","15","-1"
"Thu Nov 09 04:00:00 CET 2017","-1","-40","-0","15","-1"
"Thu Nov 09 05:00:00 CET 2017","-2","-41","-0","15","-2"
"Thu Nov 09 06:00:00 CET 2017","-1","-41","0","12","-2"
"Thu Nov 09 07:00:00 CET 2017","-1","-40","-0","12","-2"
"Thu Nov 09 08:00:00 CET 2017","-0","-40","0","11","-2"
"Thu Nov 09 09:00:00 CET 2017","-0","-40","-1","8","-2"
"Thu Nov 09 10:00:00 CET 2017","0","-39","-0","6","-2"
"Thu Nov 09 11:00:00 CET 2017","-0","-40","-0","9","-2"
"Thu Nov 09 12:00:00 CET 2017","-0","-40","-0","6","-1"
"Thu Nov 09 13:00:00 CET 2017","0","-40","0","6","-0"
"Thu Nov 09 14:00:00 CET 2017","1","-40","-0","-1","0"
"Thu Nov 09 15:00:00 CET 2017","0","-39","0","-2","0"
"Thu Nov 09 16:00:00 CET 2017","-0","-39","-0","1","-0"
"Thu Nov 09 17:00:00 CET 2017","-0","-39","0","-5","-0"
"Thu Nov 09 18:00:00 CET 2017","-1","-39","0","-5","-1"
"Thu Nov 09 19:00:00 CET 2017","-1","-39","-0","-6","-1"
"Thu Nov 09 20:00:00 CET 2017","-1","-39","-0","-6","-2"
"Thu Nov 09 21:00:00 CET 2017","0","-39","-0","-5","-2"
"Thu Nov 09 22:00:00 CET 2017","1","-39","-0","-2","-2"
"Thu Nov 09 23:00:00 CET 2017","-1","-39","-3","2","-2"
"Fri Nov 10 00:00:00 CET 2017","-2","-39","0","2","-3"
"Fri Nov 10 01:00:00 CET 2017","0","-39","0","0","-2"
"Fri Nov 10 02:00:00 CET 2017","-0","-39","1","0","-1"
"Fri Nov 10 03:00:00 CET 2017","0","-40","1","0","-0"
"Fri Nov 10 04:00:00 CET 2017","-1","-40","1","2","-1"
"Fri Nov 10 05:00:00 CET 2017","-2","-40","-0","2","-1"
"Fri Nov 10 06:00:00 CET 2017","-1","-40","0","0","-1"
"Fri Nov 10 07:00:00 CET 2017","-1","-40","-1","0","-2"
"Fri Nov 10 08:00:00 CET 2017","-2","-40","-1","1","-2"
"Fri Nov 10 09:00:00 CET 2017","1","-40","1","0","-0"
"Fri Nov 10 10:00:00 CET 2017","0","-40","-0","3","-1"
"Fri Nov 10 11:00:00 CET 2017","-1","-39","-0","4","-1"
"Fri Nov 10 12:00:00 CET 2017","0","-40","-0","3","-0"
"Fri Nov 10 13:00:00 CET 2017","-1","-40","1","13","-2"
"Fri Nov 10 14:00:00 CET 2017","-1","-41","1","18","-2"
"Fri Nov 10 15:00:00 CET 2017","-1","-41","0","21","-2"
"Fri Nov 10 16:00:00 CET 2017","1","-40","-0","23","-2"
"Fri Nov 10 17:00:00 CET 2017","1","-40","0","16","-3"
"Fri Nov 10 18:00:00 CET 2017","-0","-40","-0","2","-1"
